表,食谱,状态,原料,营养档案,改前,改后,处理说明
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,,生,煮熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,十字花科全谷物三文鱼鸡肉,PUBLIC,,生,去皮、煮熟后称重、打碎、充分搅拌,去皮、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,马肉兔肉白米土豆,PRIVATE_CUSTOM,,生,煮熟后称重、打碎、充分搅拌,生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,马肉兔肉白米土豆,PRIVATE_CUSTOM,,生,去皮、煮熟后称重、打碎、充分搅拌,去皮、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,马肉兔肉白米土豆,PRIVATE_CUSTOM,,生,去瓤、去皮、煮熟后沥水、称重、打碎、充分搅拌,去瓤、去皮、生重、打碎、充分搅拌,自由文本归一、生档案：熟制称重→生重、去掉多余称重
正式食谱,马肉兔肉白米土豆,PRIVATE_CUSTOM,,油脂,生重、充分搅拌,充分搅拌,油/粉/补剂：删除口径词
正式食谱,犇犇 的鲜食食谱 08/03,PRIVATE_CUSTOM,,生,去皮、去瓤、煮熟后称重、打碎、充分搅拌,去皮、去瓤、生重、打碎、充分搅拌,生档案：熟制称重→生重
正式食谱,燕麦米青花鱼鸭肉(财宝),PRIVATE_CUSTOM,,熟,生重、打碎、充分搅拌,熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,糙米三文鱼鸭胸鹿腿,PUBLIC,,熟,生重、打碎、充分搅拌,熟重、打碎、充分搅拌,熟档案：生重→熟重
正式食谱,Lucky 的易消化简餐,PRIVATE_CUSTOM,,,打碎、静置30分钟、焯水沥干、称重、充分搅拌,打碎、静置30分钟、焯水、沥干后称重、充分搅拌,自由文本归一、去掉多余称重
正式食谱,土豆大米鳕鱼火鸡胸,PUBLIC,,,"a8ba4629-0933-4427-a537-5febbee5ed48, a8f50f30-16f8-4c18-a216-e9ed0a6d4f65, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去皮、去骨、生重、打碎、充分搅拌,机器码还原
正式食谱,土豆大米鳕鱼火鸡胸,PUBLIC,,,"dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",生重、打碎、充分搅拌,机器码还原
正式食谱,土豆大米鳕鱼火鸡胸,PUBLIC,,,"a6409a79-402b-41d1-bfe1-031a67da0876, dd27baa4-36cb-4405-9092-0eb37e6160fa, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去油、生重、打碎、充分搅拌,机器码还原
正式食谱,土豆大米鳕鱼火鸡胸,PUBLIC,,,"e7f1e345-6aee-4274-9c81-b2463dae82df, 81263f8d-49db-4f56-8607-fe9d1c6e61ce, dd27baa4-36cb-4405-9092-0eb37e6160fa, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去壳、全蛋、生重、充分搅拌,机器码还原
正式食谱,土豆大米鳕鱼火鸡胸,PUBLIC,,,"39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",煮熟后称重、打碎、充分搅拌,机器码还原
正式食谱,土豆大米鳕鱼火鸡胸,PUBLIC,,,"a8ba4629-0933-4427-a537-5febbee5ed48, 39b36568-24f1-4b20-b8ef-61ce023d568d, 7aa01a87-e4d5-4e3b-b4cf-e4634b303853, af4c8a9c-98bf-4f91-ab07-4927aae2c4c2",去皮、煮熟后称重、打碎、充分搅拌,机器码还原
